symbol,strategy,current_price,strike_price,expiration_date,days_to_expiration,premium_per_share,premium_total,capital_required,return_percentage,volume,open_interest,implied_volatility
ASTS,Covered Call,48.2275,48,10/31/2025,31,5.25,525,4822.75,10.88590534,72,68,0.932862
ASTS,Cash-Secured Put,48.2275,48,10/31/2025,31,5.2,520,4800,10.83333333,18,92,0.955566851
NNE,Cash-Secured Put,38.2311,38,10/31/2025,31,4,400,3800,10.52631579,20,29,0.950195811
RDDT,Covered Call,227.31,225,10/31/2025,31,22.8,2280,22731,10.03035502,83,7,0.82464775
MARA,Cash-Secured Put,18.28,18.5,10/31/2025,31,1.79,179,1850,9.675675676,20,1356,0.787111504
NNE,Covered Call,38.2311,38,10/31/2025,31,3.6,360,3823.11,9.416417524,50,13,0.820070159
RDDT,Cash-Secured Put,227.31,225,10/31/2025,31,20.45,2045,22500,9.088888889,11,108,0.826967062
MARA,Covered Call,18.28,18.5,10/31/2025,31,1.66,166,1828,9.080962801,130,4812,0.824220508
SMCI,Covered Call,47.49,47,10/31/2025,31,4.2,420,4749,8.843967151,177,1377,0.722659023
TSLA,Cash-Secured Put,439.28,440,10/31/2025,31,32,3200,44000,7.272727273,187,522,0.611789771
SMCI,Cash-Secured Put,47.49,47,10/31/2025,31,3.4,340,4700,7.234042553,37,62,0.657718267
TSLA,Covered Call,439.28,440,10/31/2025,31,31.45,3145,43928,7.159442724,398,1308,0.615024602
COIN,Cash-Secured Put,333.32,335,10/31/2025,31,23.95,2395,33500,7.149253731,13,39,0.595524064
MSTR,Cash-Secured Put,318.2999,320,10/31/2025,31,22.85,2285,32000,7.140625,45,409,0.590702335
COIN,Covered Call,333.32,335,10/31/2025,31,23.2,2320,33332,6.960278411,150,197,0.620426159
MSTR,Covered Call,318.2999,320,10/31/2025,31,21.6,2160,31829.99,6.786053027,123,128,0.611270977
ORCL,Cash-Secured Put,278.37,280,10/31/2025,31,17.3,1730,28000,6.178571429,154,837,0.506840869
MU,Covered Call,165.77,165,10/31/2025,31,9.85,985,16577,5.941967787,290,1189,0.497197411
NVO,Covered Call,54.83,55,10/31/2025,31,3.25,325,5483,5.927412001,1138,366,0.521733298
NVO,Cash-Secured Put,54.83,55,10/31/2025,31,3.25,325,5500,5.909090909,26,1287,0.504155349
AMD,Covered Call,160.26,160,10/31/2025,31,9.3,930,16026,5.803070011,226,2375,0.490117404
ORCL,Covered Call,278.37,280,10/31/2025,31,15.75,1575,27837,5.657937278,166,191,0.506169489
AVGO,Covered Call,326.25,325,10/31/2025,31,17.15,1715,32625,5.256704981,56,264,0.437505625
AMD,Cash-Secured Put,160.26,160,10/31/2025,31,8.3,830,16000,5.1875,176,1440,0.456853576
MU,Cash-Secured Put,165.77,165,10/31/2025,31,8.55,855,16500,5.181818182,85,308,0.465459447
LLY,Covered Call,751.5859,750,10/31/2025,31,38.9,3890,75158.59,5.175722429,31,101,0.43890942
GOOG,Covered Call,241.85,240,10/31/2025,31,12.1,1210,24185,5.003101096,128,441,0.400823863
NVDA,Covered Call,185.9799,185,10/31/2025,31,9.15,915,18597.99,4.919886504,6198,12906,0.397466963
LLY,Cash-Secured Put,751.5859,750,10/31/2025,31,33.6,3360,75000,4.48,2,19,0.410009562
AVGO,Cash-Secured Put,326.25,325,10/31/2025,31,14.35,1435,32500,4.415384615,75,195,0.394567822
AMZN,Covered Call,219.07,220,10/31/2025,31,9.3,930,21907,4.245218423,1540,3047,0.382086257
AMZN,Cash-Secured Put,219.07,220,10/31/2025,31,9.25,925,22000,4.204545455,330,2216,0.346564152
NVDA,Cash-Secured Put,185.9799,185,10/31/2025,31,7.2,720,18500,3.891891892,1935,4846,0.355170023
GOOG,Cash-Secured Put,241.85,240,10/31/2025,31,9.2,920,24000,3.833333333,156,1025,0.360296924
MSFT,Covered Call,515.07,515,10/31/2025,31,17.4,1740,51507,3.378181606,134,524,0.290412369
AAPL,Cash-Secured Put,253.93,255,10/31/2025,31,8.05,805,25500,3.156862745,347,1103,0.254890264
AAPL,Covered Call,253.93,255,10/31/2025,31,7.5,750,25393,2.953569881,426,2887,0.2701489
XOM,Covered Call,112.075,112,10/31/2025,31,3.3,330,11207.5,2.944456837,28,185,0.254157849
MSFT,Cash-Secured Put,515.07,515,10/31/2025,31,14.75,1475,51500,2.86407767,110,140,0.248878361
XOM,Cash-Secured Put,112.075,112,10/31/2025,31,2.61,261,11200,2.330357143,40,82,0.206184696
