symbol,strategy,current_price,strike_price,expiration_date,days_to_expiration,premium_per_share,premium_total,capital_required,return_percentage,volume,open_interest,implied_volatility,pe_ratio,pb_ratio,peg_ratio,ps_ratio,market_cap,dividend_yield,ev_ebitda,graham_intrinsic_value,dcf_intrinsic_value,lynch_fair_value
ASTS,Covered Call,49.3601,49.0,2025-10-31,31,5.4,540.0,4936.01,10.94001025119479,160.0,55,0.9226081958007812,-69.52127,14.257684,,3664.2183,17925355520,,-60.726,,,
ASTS,Cash-Secured Put,49.3601,49.0,2025-10-31,31,5.3,530.0,4900.0,10.816326530612246,43.0,33,0.9633792724609375,-69.52127,14.257684,,3664.2183,17925355520,,-60.726,,,
NNE,Covered Call,38.29,38.0,2025-10-31,31,3.9,390.0,3829.0,10.1854270044398,54.0,13,0.85742330078125,-38.29,7.0282674,,,1600339584,,,,,
NNE,Cash-Secured Put,38.29,38.0,2025-10-31,31,3.8,380.0,3800.0,10.0,20.0,29,0.911133701171875,-38.29,7.0282674,,,1600339584,,,,,
MARA,Covered Call,18.221,18.0,2025-10-31,31,1.8,180.0,1822.1,9.878711376982602,64.0,4137,0.797853583984375,8.474884,1.3778737,,8.454445,6750113280,,8.519,25.292508772361828,8.695277148980411,32.25
RDDT,Cash-Secured Put,230.06,230.0,2025-10-31,31,21.9,2190.0,23000.0,9.521739130434783,35.0,361,0.8220232641601561,102.248886,18.02978,,25.61345,42724409344,,293.507,25.41603824359729,34.58873880850286,33.75
RDDT,Covered Call,230.06,230.0,2025-10-31,31,21.6,2160.0,23006.0,9.388855081283145,129.0,14,0.8085956640624999,102.248886,18.02978,,25.61345,42724409344,,293.507,25.41603824359729,34.58873880850286,33.75
MARA,Cash-Secured Put,18.221,18.0,2025-10-31,31,1.59,159.0,1800.0,8.833333333333334,72.0,245,0.804689453125,8.474884,1.3778737,,8.454445,6750113280,,8.519,25.292508772361828,8.695277148980411,32.25
SMCI,Cash-Secured Put,47.61,48.0,2025-10-31,31,4.05,405.0,4800.0,8.4375,5.0,91,0.692385888671875,28.005882,4.4889684,,1.2876979,28293351424,,20.92,20.14148703546985,7.044251276085358,25.5
TSLA,Cash-Secured Put,443.1,445.0,2025-10-31,31,32.5,3250.0,44500.0,7.303370786516854,140.0,220,0.604190969848633,263.73514,18.476086,,15.890579,1473291354112,,122.96,30.107836189271392,2.4306881459105854,25.2
SMCI,Covered Call,47.61,48.0,2025-10-31,31,3.45,345.0,4761.0,7.246376811594203,248.0,464,0.6547886083984377,28.005882,4.4889684,,1.2876979,28293351424,,20.92,20.14148703546985,7.044251276085358,25.5
TSLA,Covered Call,443.1,445.0,2025-10-31,31,31.95,3195.0,44310.0,7.210561949898444,482.0,732,0.6297034100341796,263.73514,18.476086,,15.890579,1473291354112,,122.96,30.107836189271392,2.4306881459105854,25.2
COIN,Covered Call,336.12,335.0,2025-10-31,31,24.05,2405.0,33612.0,7.1551826728549335,173.0,197,0.6096840789794924,30.308386,7.12632,,12.053087,80828506112,,41.075,108.485465155476,1386866771.48133,40959.806
MSTR,Covered Call,321.7701,320.0,2025-10-31,31,22.65,2265.0,32177.010000000002,7.039187295525593,167.0,128,0.5815471533203125,21.375416,1.9037418,,187.0034,86436954112,,15.52,239.21092862785346,253.96032610967762,225.75
COIN,Cash-Secured Put,336.12,335.0,2025-10-31,31,22.85,2285.0,33500.0,6.82089552238806,21.0,39,0.5995218270874024,30.308386,7.12632,,12.053087,80828506112,,41.075,108.485465155476,1386866771.48133,40959.806
MSTR,Cash-Secured Put,321.7701,320.0,2025-10-31,31,20.6,2060.0,32000.0,6.4375,45.0,409,0.5816081878662109,21.375416,1.9037418,,187.0034,86436954112,,15.52,239.21092862785346,253.96032610967762,225.75
NVO,Cash-Secured Put,55.525,56.0,2025-10-31,31,3.55,355.0,5600.0,6.3392857142857135,18.0,366,0.5139208764648437,14.164541,1.4680221,,0.77592236,242039652352,3.11,2.053,57.758017625261346,366.44399103539035,128.184
ORCL,Cash-Secured Put,279.395,280.0,2025-10-31,31,16.85,1685.0000000000002,28000.0,6.017857142857143,157.0,837,0.5065967309570312,64.97558,32.862267,,13.495836,796497215488,0.71,36.98,28.680455017311008,,64.5
AMD,Covered Call,160.37,160.0,2025-10-31,31,9.3,930.0000000000001,16037.0,5.799089605287773,295.0,2375,0.48730981445312505,94.893486,4.3596573,,8.792414,260255432704,,47.165,37.39986129653424,5974.906273886778,394.784
MU,Covered Call,165.18,165.0,2025-10-31,31,9.5,950.0,16518.0,5.751301610364451,455.0,1189,0.49005636901855476,20.857323,3.4156983,,4.945612,184868274176,0.29,10.382,92.83376756331717,,2031.48
ORCL,Covered Call,279.395,280.0,2025-10-31,31,15.9,1590.0,27939.5,5.690867767855545,178.0,191,0.4998218963623047,64.97558,32.862267,,13.495836,796497215488,0.71,36.98,28.680455017311008,,64.5
NVO,Covered Call,55.525,56.0,2025-10-31,31,3.05,305.0,5552.5,5.493021161638902,31.0,139,0.5139208764648437,14.164541,1.4680221,,0.77592236,242039652352,3.11,2.053,57.758017625261346,366.44399103539035,128.184
MU,Cash-Secured Put,165.18,165.0,2025-10-31,31,8.65,865.0,16500.0,5.242424242424242,96.0,308,0.4567315069580079,20.857323,3.4156983,,4.945612,184868274176,0.29,10.382,92.83376756331717,,2031.48
AMD,Cash-Secured Put,160.37,160.0,2025-10-31,31,8.2,819.9999999999999,16000.0,5.124999999999999,198.0,1440,0.44873598144531246,94.893486,4.3596573,,8.792414,260255432704,,47.165,37.39986129653424,5974.906273886778,394.784
LLY,Covered Call,764.68,765.0,2025-10-31,31,38.25,3825.0,76468.0,5.002092378511272,60.0,23,0.43814648773193365,49.88128,37.530308,,12.871329,685502562304,0.83,27.799,83.83225438338158,,1407.2939999999999
AVGO,Cash-Secured Put,329.485,330.0,2025-10-31,31,15.85,1585.0,33000.0,4.803030303030303,59.0,262,0.40698835205078127,85.80338,5.563651,,26.489489,1587409059840,0.71,5.013,71.53107296832614,9836.308756794342,722.304
NVDA,Covered Call,185.3917,185.0,2025-10-31,31,8.9,890.0,18539.17,4.800646415130775,7077.0,12906,0.399969379272461,51.78771,45.076588,,27.319855,4513933557760,0.02,44.492,18.201707337499965,253.23493344959638,219.09599999999998
AVGO,Covered Call,329.485,330.0,2025-10-31,31,15.55,1555.0,32948.5,4.719486471311289,100.0,367,0.411138701171875,85.80338,5.563651,,26.489489,1587409059840,0.71,5.013,71.53107296832614,9836.308756794342,722.304
GOOG,Cash-Secured Put,243.2,245.0,2025-10-31,31,11.55,1155.0,24500.0,4.714285714285714,37.0,556,0.37567763000488286,26.263498,8.111263,,7.9993734,2970959216640,0.34,20.603,79.03770018162218,292.91905810617936,206.498
LLY,Cash-Secured Put,764.68,765.0,2025-10-31,31,34.55,3454.9999999999995,76500.0,4.516339869281045,7.0,8,0.4019530020141602,49.88128,37.530308,,12.871329,685502562304,0.83,27.799,83.83225438338158,,1407.2939999999999
AMZN,Covered Call,219.355,220.0,2025-10-31,31,9.3,930.0000000000001,21935.5,4.239702764924438,1666.0,3047,0.3765931481933594,33.135197,7.0056844,,3.491446,2339401629696,,18.201,68.29182564553389,138.706909948657,220.44600000000003
AMZN,Cash-Secured Put,219.355,220.0,2025-10-31,31,9.1,910.0,22000.0,4.136363636363637,353.0,2216,0.3440617352294921,33.135197,7.0056844,,3.491446,2339401629696,,18.201,68.29182564553389,138.706909948657,220.44600000000003
NVDA,Cash-Secured Put,185.3917,185.0,2025-10-31,31,7.35,735.0,18500.0,3.972972972972973,2771.0,4846,0.34992105163574216,51.78771,45.076588,,27.319855,4513933557760,0.02,44.492,18.201707337499965,253.23493344959638,219.09599999999998
GOOG,Covered Call,243.2,245.0,2025-10-31,31,9.6,960.0,24320.0,3.9473684210526314,298.0,462,0.3704286590576171,26.263498,8.111263,,7.9993734,2970959216640,0.34,20.603,79.03770018162218,292.91905810617936,206.498
MSFT,Covered Call,517.06,515.0,2025-10-31,31,18.15,1814.9999999999998,51705.99999999999,3.5102309209762894,257.0,524,0.2854990884399413,37.633553,11.191348,,13.6424055,3843578920960,0.71,24.55,119.5155496159391,276.6382795570033,325.638
AAPL,Covered Call,253.99,255.0,2025-10-31,31,7.7,770.0,25399.0,3.0316154179298396,651.0,2887,0.27808339111328123,38.71799,57.321144,,9.261719,3784569782272,0.41,26.974,25.573728707405966,137.23888287532827,79.37599999999999
XOM,Covered Call,112.245,112.0,2025-10-31,31,3.4,340.0,11224.5,3.0290881553744042,53.0,185,0.25489026367187506,16.362246,1.822307,,1.4890022,491096768512,3.38,8.319,97.50481141974481,20.851573214197515,102.9
AAPL,Cash-Secured Put,253.99,255.0,2025-10-31,31,7.65,765.0,25500.0,3.0,384.0,1103,0.24195093994140626,38.71799,57.321144,,9.261719,3784569782272,0.41,26.974,25.573728707405966,137.23888287532827,79.37599999999999
MSFT,Cash-Secured Put,517.06,515.0,2025-10-31,31,14.1,1410.0,51500.0,2.737864077669903,115.0,140,0.25287612365722656,37.633553,11.191348,,13.6424055,3843578920960,0.71,24.55,119.5155496159391,276.6382795570033,325.638
XOM,Cash-Secured Put,112.245,112.0,2025-10-31,31,2.48,248.0,11200.0,2.214285714285714,41.0,82,0.2092364233398437,16.362246,1.822307,,1.4890022,491096768512,3.38,8.319,97.50481141974481,20.851573214197515,102.9
